,# temperatures,INP,ff,K,date
6,-23.77,0.0,0.142857142857,130.620182417,2016-10-20
7,-24.34,0.0,0.163265306122,154.150679827,2016-10-20
8,-24.34,0.0,0.183673469388,178.248231406,2016-10-20
9,-24.41,0.0,0.204081632653,202.940843997,2016-10-20
10,-24.43,0.0,0.224489795918,228.258651981,2016-10-20
11,-24.61,0.0,0.244897959184,254.234138384,2016-10-20
12,-24.8,0.0,0.265306122449,280.902385466,2016-10-20
13,-24.82,0.0,0.285714285714,308.301359655,2016-10-20
14,-25.1,0.0,0.30612244898,336.472236621,2016-10-20
15,-25.15,0.0,0.326530612245,365.459773494,2016-10-20
16,-25.32,0.0,0.34693877551,395.312736644,2016-10-20
17,-25.66,0.0,0.367346938776,426.084395311,2016-10-20
18,-25.79,0.0,0.387755102041,457.833093625,2016-10-20
19,-25.81,0.0,0.408163265306,490.622916448,2016-10-20
20,-25.85,0.0,0.428571428571,524.524468124,2016-10-20
21,-25.95,0.0,0.448979591837,559.615787935,2016-10-20
22,-26.16,0.0,0.469387755102,595.983432106,2016-10-20
23,-26.16,0.0,0.489795918367,633.723760089,2016-10-20
24,-26.16,0.0,0.510204081633,672.944473242,2016-10-20
25,-26.58,0.0,0.530612244898,713.766467763,2016-10-20
26,-26.68,0.0,0.551020408163,756.326082181,2016-10-20
27,-26.74,0.0,0.571428571429,800.777844752,2016-10-20
28,-26.81,0.0,0.591836734694,847.297860387,2016-10-20
29,-26.81,0.0,0.612244897959,896.088024557,2016-10-20
30,-26.94,0.0,0.632653061224,947.381318944,2016-10-20
31,-26.99,0.0,0.65306122449,1001.44854021,2016-10-20
32,-27.07,0.0,0.673469387755,1058.60695405,2016-10-20
33,-27.16,0.0,0.69387755102,1119.23157587,2016-10-20
34,-27.16,0.0,0.714285714286,1183.77009701,2016-10-20
35,-27.58,0.0,0.734693877551,1252.7629685,2016-10-20
36,-27.68,0.0,0.755102040816,1326.87094065,2016-10-20
37,-28.06,0.0,0.775510204082,1406.91364832,2016-10-20
38,-28.13,0.0,0.795918367347,1493.92502531,2016-10-20
39,-28.15,0.0,0.816326530612,1589.23520512,2016-10-20
40,-28.38,0.0,0.836734693878,1694.59572077,2016-10-20
41,-28.44,0.0,0.857142857143,1812.37875643,2016-10-20
42,-28.68,0.0,0.877551020408,1945.91014906,2016-10-20
43,-28.73,0.0,0.897959183673,2100.06082888,2016-10-20
44,-28.88,0.0,0.918367346939,2282.38238568,2016-10-20
45,-29.07,0.0,0.938775510204,2505.52593699,2016-10-20
46,-29.65,0.0,0.959183673469,2793.20800944,2016-10-20
47,-30.4,0.0,0.979591836735,3198.67311755,2016-10-20
48,-30.41,0.0,1.0,3891.82029811,2016-10-20
0,-17.96,0.0,0.0178571428571,-0.0,2016-10-21
1,-18.17,0.0,0.0357142857143,18.0185055027,2016-10-21
2,-18.69,0.0,0.0535714285714,36.3676441709,2016-10-21
3,-21.59,0.0,0.0714285714286,55.059777183,2016-10-21
4,-22.01,0.0,0.0892857142857,74.1079721537,2016-10-21
5,-22.67,0.0,0.107142857143,93.5260580108,2016-10-21
6,-23.04,0.0,0.125,113.328685307,2016-10-21
7,-23.29,0.0,0.142857142857,133.531392625,2016-10-21
8,-23.38,0.0,0.160714285714,154.150679827,2016-10-21
9,-23.72,0.0,0.178571428571,175.204089025,2016-10-21
10,-24.52,0.0,0.196428571429,196.710294246,2016-10-21
11,-24.61,0.0,0.214285714286,218.689200965,2016-10-21
12,-24.77,0.0,0.232142857143,241.162056817,2016-10-21
13,-24.8,0.0,0.25,264.151575042,2016-10-21
14,-24.89,0.0,0.267857142857,287.682072452,2016-10-21
15,-24.94,0.0,0.285714285714,311.779624031,2016-10-21
16,-25.05,0.0,0.303571428571,336.472236621,2016-10-21
17,-25.22,0.0,0.321428571429,361.790044606,2016-10-21
18,-25.22,0.0,0.339285714286,387.765531009,2016-10-21
19,-25.29,0.0,0.357142857143,414.433778091,2016-10-21
20,-25.33,0.0,0.375,441.832752279,2016-10-21
21,-25.65,0.0,0.392857142857,470.003629246,2016-10-21
